dateStart,event,latitude,longitude,description
2019-12-01 00:00:00 UTC,BATTERY,41.803803248,-87.623723176,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY
2019-12-01 01:40:00 UTC,BATTERY,41.949390691,-87.658275881,AGGRAVATED: OTHER DANG WEAPON
2019-12-01 01:45:00 UTC,BATTERY,41.883151383,-87.646847771,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
2019-12-01 01:50:00 UTC,BATTERY,41.7510326,-87.550519266,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
2019-12-01 02:10:00 UTC,BATTERY,41.742770434,-87.685559301,AGGRAVATED: OTHER DANG WEAPON
2019-12-01 02:49:00 UTC,BATTERY,41.786161249,-87.647381107,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-01 03:27:00 UTC,BATTERY,41.702948121,-87.618527246,AGGRAVATED: HANDGUN
2019-12-01 04:04:00 UTC,BATTERY,41.777330511,-87.64836611,AGGRAVATED: HANDGUN
2019-12-01 04:05:00 UTC,BATTERY,41.88046703,-87.725661689,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
2019-12-01 11:50:00 UTC,BATTERY,41.830954079,-87.630703226,AGGRAVATED: OTHER DANG WEAPON
2019-12-01 12:15:00 UTC,BATTERY,41.870026489,-87.744889197,AGG PRO.EMP: OTHER DANG WEAPON
2019-12-01 12:24:00 UTC,BATTERY,41.751842721,-87.651345416,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY
2019-12-01 12:38:00 UTC,BATTERY,41.882701856,-87.745360469,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
2019-12-01 13:34:00 UTC,BATTERY,41.831871321,-87.620565847,AGGRAVATED: HANDGUN
2019-12-01 13:58:00 UTC,BATTERY,41.759331691,-87.630810679,AGGRAVATED: HANDGUN
2019-12-01 14:15:00 UTC,BATTERY,41.811703317,-87.66383556,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
2019-12-01 15:00:00 UTC,BATTERY,41.799501989,-87.746602085,AGGRAVATED OF A SENIOR CITIZEN
2019-12-01 15:10:00 UTC,BATTERY,41.725636068,-87.643325309,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-01 15:23:00 UTC,BATTERY,41.788312511,-87.660797164,AGGRAVATED PO: OTHER DANG WEAP
2019-12-01 16:15:00 UTC,BATTERY,41.885456468,-87.712397438,AGGRAVATED: OTHER DANG WEAPON
2019-12-01 19:45:00 UTC,BATTERY,41.671747909,-87.640504432,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY
2019-12-01 20:32:00 UTC,BATTERY,41.808177007,-87.660094259,AGGRAVATED: HANDGUN
2019-12-01 21:20:00 UTC,BATTERY,41.844227884,-87.726467148,AGGRAVATED: HANDGUN
2019-12-01 21:34:00 UTC,BATTERY,41.855716085,-87.726083251,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
2019-12-01 21:40:00 UTC,BATTERY,41.940513757,-87.757638995,AGGRAVATED: OTHER DANG WEAPON
2019-12-02 00:47:00 UTC,BATTERY,41.946367964,-87.727914488,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
2019-12-02 01:30:00 UTC,BATTERY,41.892843977,-87.634102151,AGGRAVATED: OTHER DANG WEAPON
2019-12-02 04:00:00 UTC,BATTERY,41.870571484,-87.727782117,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY
2019-12-02 06:40:00 UTC,BATTERY,41.746870548,-87.652819862,AGGRAVATED OF A SENIOR CITIZEN
2019-12-02 07:00:00 UTC,BATTERY,41.893649131,-87.714125144,AGGRAVATED: OTHER DANG WEAPON
2019-12-02 10:00:00 UTC,BATTERY,41.73678777,-87.545822951,AGGRAVATED: OTHER DANG WEAPON
2019-12-02 11:35:00 UTC,BATTERY,41.761026834,-87.684811266,AGGRAVATED: HANDGUN
2019-12-02 11:40:00 UTC,BATTERY,41.89613877,-87.616575359,AGGRAVATED: OTHER DANG WEAPON
2019-12-02 14:40:00 UTC,BATTERY,41.763509356,-87.565333552,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY
2019-12-02 18:18:00 UTC,BATTERY,41.815042863,-87.667571867,AGGRAVATED: HANDGUN
2019-12-02 18:48:00 UTC,BATTERY,41.99010923,-87.65502816,AGGRAVATED: OTHER DANG WEAPON
2019-12-02 21:30:00 UTC,BATTERY,41.868103022,-87.716181735,AGGRAVATED OF A CHILD
2019-12-02 23:00:00 UTC,BATTERY,41.860338817,-87.707934324,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST
2019-12-02 23:30:00 UTC,BATTERY,41.988198299,-87.655327998,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
2019-12-03 07:45:00 UTC,BATTERY,41.905790347,-87.688329616,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-03 08:09:00 UTC,BATTERY,41.779960201,-87.632099778,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-03 13:08:00 UTC,BATTERY,41.777234866,-87.69267335,AGGRAVATED: HANDGUN
2019-12-03 15:00:00 UTC,BATTERY,41.754386686,-87.578489384,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-03 16:00:00 UTC,BATTERY,41.771664677,-87.670073519,AGGRAVATED: OTHER DANG WEAPON
2019-12-03 16:30:00 UTC,BATTERY,41.854574579,-87.701181459,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
2019-12-03 17:00:00 UTC,BATTERY,41.754386686,-87.578489384,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-03 18:54:00 UTC,BATTERY,41.735752519,-87.625429032,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-03 19:15:00 UTC,BATTERY,41.723269943,-87.609342009,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
2019-12-03 19:30:00 UTC,BATTERY,41.762595746,-87.667395894,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
2019-12-03 19:41:00 UTC,BATTERY,41.721272646,-87.658115693,AGGRAVATED: OTHER DANG WEAPON
2019-12-03 20:05:00 UTC,BATTERY,41.790313083,-87.629192734,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST
2019-12-03 21:29:00 UTC,BATTERY,41.910822615,-87.749224538,AGGRAVATED: HANDGUN
2019-12-03 22:47:00 UTC,BATTERY,41.8761036,-87.731379732,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
2019-12-04 00:02:00 UTC,BATTERY,41.7477322,-87.596310995,AGGRAVATED: HANDGUN
2019-12-04 01:00:00 UTC,BATTERY,41.729599799,-87.676258104,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
2019-12-04 02:00:00 UTC,BATTERY,42.001032737,-87.665603433,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST
2019-12-04 04:30:00 UTC,BATTERY,41.772025189,-87.588723133,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
2019-12-04 09:00:00 UTC,BATTERY,41.772804763,-87.571590438,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY
