location,colonizer,col,dateStart,dateEnd
Canada,France,1,1608,1763
Dominica,France,1,1632,1763
Grenada,France,1,1650,1762
St. Lucia,France,1,1650,1814
Haiti,France,1,1665,1804
Mauritius,France,1,1715,1810
Seychelles,France,1,1756,1794
Algeria,France,1,1848,1962
Senegal,France,1,1854,1960
Thailand,France,1,1867,1941
Guinea,France,1,1881,1958
Tunisia,France,1,1881,1956
Congo - Brazzaville,France,1,1882,1960
Cambodia,France,1,1884,1953
Djibouti,France,1,1884,1977
Gabon,France,1,1886,1960
Vanuatu,France,1,1887,1980
Vietnam,France,1,1887,1954
C�te d�Ivoire,France,1,1889,1960
Laos,France,1,1893,1954
Benin,France,1,1894,1960
Burkina Faso,France,1,1895,1960
Madagascar,France,1,1895,1960
Mauritania,France,1,1903,1960
Mali,France,1,1904,1960
Central African Republic,France,1,1906,1960
Chad,France,1,1910,1960
Morocco,France,1,1912,1956
Comoros,France,1,1914,1975
Cameroon,France,1,1922,1960
Niger,France,1,1922,1960
Togo,France,1,1922,1960
Lebanon,France,1,1923,1946
Syria,France,1,1923,1946
