location,colonizer,col,dateStart,dateEnd
Dominican Republic,Spain,1,1495,1865
Jamaica,Spain,1,1509,1655
Cuba,Spain,1,1511,1899
Panama,Spain,1,1519,1821
Mexico,Spain,1,1521,1821
Belize,Spain,1,1524,1862
Costa Rica,Spain,1,1524,1821
Guatemala,Spain,1,1524,1821
Honduras,Spain,1,1524,1821
Nicaragua,Spain,1,1524,1821
Colombia,Spain,1,1525,1820
El Salvador,Spain,1,1528,1821
Peru,Spain,1,1533,1824
Ecuador,Spain,1,1535,1829
Paraguay,Spain,1,1537,1811
Chile,Spain,1,1541,1818
Venezuela,Spain,1,1556,1821
Bolivia,Spain,1,1559,1825
Philippines,Spain,1,1565,1898
Argentina,Spain,1,1580,1819
Trinidad & Tobago,Spain,1,1592,1797
Uruguay,Spain,1,1625,1828
Micronesia (Federated States of),Spain,1,1650,1899
Equatorial Guinea,Spain,1,1858,1968
Mauritania,Spain,1,1884,1975
Morocco,Spain,1,1884,1975
Palau,Spain,1,1886,1899
