BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,event,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,dateStart,CZ_TIMEZONE,dateEnd,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,latitude,longitude,END_LAT,END_LON,EPISODE_NARRATIVE,description,DATA_SOURCE
201701,1,1800,201701,11,0,113209,677250,OREGON,41,2017,January,Cold/Wind Chill,Z,6,GREATER  PORTLAND METRO AREA,PQR,2017-01-01 18:00,PST-8,2017-01-11 0:00,0,0,4,0,0.00K,0.00K,Broadcast Media,,,,,,,,,,,,,,,,,,,,,,A low pressure system dropping south across the area and a trailing ridge of high pressure brought cold temperatures to Northwest Oregon.  The cold temperatures lead to four fatalities in the Portland area.,Cold temperatures claimed four lives in the Portland area. The victims were homeless and died of hypothermia from exposure to the cold temperatures.,CSV
201701,1,1800,201701,2,2100,113049,675835,SOUTH DAKOTA,46,2017,January,Extreme Cold/Wind Chill,Z,15,DEWEY,ABR,2017-01-01 18:00,CST-6,2017-01-02 21:00,0,0,2,0,0.00K,0.00K,Newspaper,,,,,,,,,,,,,,,,,,,,,,A couple became stranded northeast of Eagle Butte on Jan 1st in snow and low visibility when their vehicle went into the ditch. It was very cold when the couple decided to walk to safety with both of them freezing to death. A command center was set up with a large search and rescue operation occurring. Multiple search parties along with a helicopter were dispatched. The woman was located within 48 hours while the man was not located until nearly a month later.,,CSV
201701,2,630,201701,2,630,112430,672747,TEXAS,48,2017,January,Thunderstorm Wind,C,231,HUNT,FWD,2017-01-02 6:30,CST-6,2017-01-02 6:30,0,0,2,0,0.00K,0.00K,Newspaper,52,EG,,,,,,,,,,0,N,LAKE TAWAKONI,0,N,LAKE TAWAKONI,32.88,-96.05,32.88,-96.05,"A shortwave trough and a Pacific Cold Front moved across the Southern Plains during the first days of 2017. Thunderstorms developed over West-Central Texas late New Year's Night and spread east across North and Central Texas during the early morning hours of January 2nd, producing scattered straight line wind damage along the way.","The bodies of a 26 year old man and his 5 year old son were found on Lake Tawakoni a day after being reported missing. According to reports, the pair were on the lake at the time the squall line blew through the area. Their boat was thought to have capsized, leading to the drowning of the father and son.",CSV
201701,2,1311,201701,3,2200,111482,671787,FLORIDA,12,2017,January,Flood,C,131,WALTON,TAE,2017-01-02 13:11,CST-6,2017-01-03 22:00,0,0,1,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,0,WSW,POND CREEK,1,SSW,POND CREEK,30.787,-86.3865,30.7713,-86.3857,"Multiple rounds of showers and thunderstorms affected the region to start the year.  Two day rainfall totals in excess of 8 inches were common across portions of the Florida panhandle with several roads flooded.  Severe weather, including tornadoes and significant straight line wind damage, also occurred across the tri-state area with most of it in southeast Alabama and southwest Georgia.  Albany was particularly hard hit with significant wind damage.  There were a total of 5 fatalities across the tri-state area from straight line winds.  There was also 1 fatality in Florida due to river flooding.",Flood waters were approaching a resident's home. He possibly made an attempt to walk to his vehicle and was swept away in the flood water. No other homes were affected. The person involved was an elderly male in a travel trailer and possibly fell when stepping outside. The water level outside was approximately 3 feet deep.  This flooding was river flooding from the Shoal River.,CSV
201701,2,1500,201701,2,1500,112345,669799,FLORIDA,12,2017,January,Rip Current,Z,172,COASTAL BROWARD COUNTY,MFL,2017-01-02 15:00,EST-5,2017-01-02 15:00,0,0,1,0,,,Newspaper,,,,,,,,,,,,,,,,,,,,,,Strong east winds brought rough seas and rip currents to all Atlantic beaches during the day. A man drowned near Pompano Beach Pier.,A 78-year-old man drowned around 3 PM near Pompano Beach Pier when a rip current pulled him out 100 yards from the beach. Two others in their 60s were rescued in the same incident.,CSV
201701,2,1937,201701,2,1946,111483,670350,ALABAMA,1,2017,January,Thunderstorm Wind,C,69,HOUSTON,TAE,2017-01-02 19:37,CST-6,2017-01-02 19:46,0,0,4,0,100.00K,0.00K,NWS Storm Survey,74,EG,,,,,,,,,,2,N,MERRITTS CROSSROADS,1,SSW,ARDILLA,31.1095,-85.4856,31.1514,-85.3671,"Multiple rounds of showers and thunderstorms affected the region to start the year. Two day rainfall totals in excess of 8 inches were common across portions of the Florida panhandle with several roads flooded. Severe weather, including tornadoes and significant straight line wind damage, also occurred across the tri-state area with most of it in southeast Alabama and southwest Georgia. Albany was particularly hard hit with significant wind damage. There were a total of 5 fatalities across the tri-state area from straight line winds.  There was also 1 fatality in Florida due to river flooding.","An NWS Survey Team determined that some damage in the Rehobeth area was caused by strong straight line winds on the southern flank of a tornado just to the north. Damage consisted of numerous large trees snapped or uprooted. One mobile home was split by a large tree, resulting in four fatalities. The damage pattern along this path was not convergent and was noticeably south of the path of the tornado vortex.  Damage cost was estimated.",CSV
201701,2,2249,201701,2,2256,111484,670353,GEORGIA,13,2017,January,Thunderstorm Wind,C,287,TURNER,TAE,2017-01-02 22:49,EST-5,2017-01-02 22:56,0,0,1,0,250.00K,0.00K,NWS Storm Survey,70,EG,,,,,,,,,,4,SW,DAKOTA,3,ENE,DAKOTA,31.734,-83.7417,31.7877,-83.6514,"Multiple rounds of showers and thunderstorms affected the region to start the year. Two day rainfall totals in excess of 8 inches were common across portions of the Florida panhandle with several roads flooded. Severe weather, including tornadoes and significant straight line wind damage, also occurred across the tri-state area with most of it in southeast Alabama and southwest Georgia. Albany was particularly hard hit with significant wind damage. There were a total of 5 fatalities across the tri-state area from straight line winds.  There was also 1 fatality in Florida due to river flooding.","An NWS survey team determined that straight line winds of 80 mph moved across Turner county. The severe winds downed hundreds of trees, knocked over a church steeple, and removed shingles and metal roofing from mobile homes and well-constructed outbuildings. In addition, a few mobile homes were damaged by falling trees and one outbuilding was destroyed when the wind shifted it off the blocks on which it was located. This resulted in one fatality. The damage was confined to roughly a 6.5 mile by 4 mile box.  Damage cost was estimated.",CSV
201701,3,0,201701,6,2359,112877,674302,NEVADA,32,2017,January,Cold/Wind Chill,Z,20,LAS VEGAS VALLEY,VEF,2017-01-03 0:00,PST-8,2017-01-06 23:59,0,0,1,1,0.00K,0.00K,County Official,,,,,,,,,,,,,,,,,,,,,,Two people died in Las Vegas of Cold related causes.,Two people died in Las Vegas of cold related causes.,CSV
201701,4,0,201701,4,1000,112332,669731,WISCONSIN,55,2017,January,Cold/Wind Chill,Z,66,MILWAUKEE,MKX,2017-01-04 0:00,CST-6,2017-01-04 10:00,0,0,1,0,0.00K,0.00K,County Official,,,,,,,,,,,,,,,,,,,,,,A man died of hypothermia according to the Milwaukee County Medical Examiner's Office. The man was found outside.,A man died of hypothermia according to the Milwaukee County Medical Examiner's Office. The man's frozen body was found outside at a trailer park around 10:00 AM. Low temperatures were in the teens.,CSV
201701,5,1300,201701,5,1300,113265,677714,WISCONSIN,55,2017,January,Cold/Wind Chill,Z,66,MILWAUKEE,MKX,2017-01-05 13:00,CST-6,2017-01-05 13:00,0,0,1,0,0.00K,0.00K,County Official,,,,,,,,,,,,,,,,,,,,,,The Milwaukee County Medical Examiner's Office reported a Hypothermia death.,A woman was found dead in her unheated home. The Milwaukee County Medical Examiner's Office reported the cause of death as Hypothermia.,CSV
